number of iterations = 10000000
number of buckets; meanJumpHash; varianceJumpHash; meanJumpBackHash; varianceJumpBackHash; meanJumpBackHash32; varianceJumpBackHash32
55; 4.5940763; 2.9670894497783067; 1.143563; 0.1287798650309997; 2.1637037; 0.19070699860631013
56; 4.6112121; 2.9828016688135897; 1.126828; 0.11481765841600033; 2.1427672; 0.16335792660415915
57; 4.6291177; 3.000790219546708; 1.1106175; 0.10109026869374982; 2.122802; 0.13793806879599924
58; 4.6472508; 3.0203570018993595; 1.0945441; 0.08728111315519005; 2.103351; 0.11393817079899993
59; 4.6624251; 3.036256886889987; 1.0785341; 0.07333849513719004; 2.0846714; 0.09185095402204002
60; 4.6794909; 3.051023816817189; 1.062738; 0.05928094335599998; 2.0667041; 0.07115666304319035
61; 4.6949751; 3.0674951103799906; 1.0470039; 0.04500953338478997; 2.0490467; 0.0514343212191104
62; 4.712192; 3.0803789551359984; 1.0312879; 0.03037156731359003; 2.0322865; 0.03333588191774961
63; 4.7278339; 3.097661514010788; 1.0156977; 0.0154580822147099; 2.0159079; 0.016171638717588976
64; 4.7442584; 3.1142978340294434; 1.0; 0.0; 2.0; 0.0
65; 4.7590716; 3.1290481060734336; 1.6499235; 0.6432621441477497; 2.9700298; 1.9109973871119603
66; 4.7740761; 3.144812291408787; 1.6329728; 0.6203630344601607; 2.9387097; 1.820901599125909
67; 4.7894344; 3.160414928096639; 1.6162796; 0.5983168546238407; 2.9103795; 1.736639465979751
68; 4.8031423; 3.172908345950706; 1.6006601; 0.5783677442679895; 2.8834071; 1.6630399956695907
69; 4.8186924; 3.1876421541822424; 1.5851905; 0.5578621787097502; 2.8544993; 1.586098446299511
70; 4.8325167; 3.2006116442211088; 1.5702627; 0.53943615298871; 2.828558; 1.5148700406359996
71; 4.8468916; 3.2167048178494397; 1.5554799; 0.5213559806959904; 2.8023744; 1.4467065222246394
72; 4.8602435; 3.2275984207077464; 1.5410819; 0.50442627749239; 2.7781563; 1.3836442727703098
73; 4.8750583; 3.24082887160111; 1.5271053; 0.4880099027119096; 2.7532843; 1.3224474633735115
74; 4.888374; 3.257694236124003; 1.513324; 0.47232847102400033; 2.7297186; 1.2626963648140404
75; 4.9019029; 3.2717442589715944; 1.4995341; 0.45676798293719; 2.7069097; 1.2058283760459085
76; 4.9150116; 3.282100971865443; 1.486721; 0.4421472681590002; 2.6843145; 1.152399765089748
77; 4.9269019; 3.300101967776392; 1.4736661; 0.4277713257107898; 2.6624813; 1.1018954271503087
78; 4.9405799; 3.3074219517159875; 1.460877; 0.41478319087100024; 2.6410216; 1.0514487083334378
79; 4.9529865; 3.3200116308177527; 1.4479231; 0.4007629964863906; 2.6198423; 1.003875423130709
80; 4.9653366; 3.334578248700442; 1.4362965; 0.38840786408774974; 2.6002811; 0.9615449009827897
81; 4.9780865; 3.342074298517751; 1.4247742; 0.3766580790143599; 2.5805233; 0.9170625981571101
82; 4.9898395; 3.357957064239745; 1.4127329; 0.3649982532575904; 2.5611127; 0.8753320378987111
83; 5.0015657; 3.3662780485835135; 1.4011676; 0.35327595671024015; 2.5420954; 0.8355807772988397
84; 5.0151618; 3.381755719820763; 1.3895898; 0.3419695877359603; 2.5237847; 0.7978202880459087
85; 5.0251332; 3.391837122257762; 1.3787585; 0.33189589867775005; 2.5057379; 0.7609928765035896
86; 5.0374323; 3.4024863229167117; 1.3677578; 0.32127080053916; 2.4883294; 0.7261339970956397
87; 5.0483828; 3.415971304664165; 1.3566364; 0.31122527819504; 2.4709341; 0.6929503734571902
